#Run	 SB0 	'+/- 	 SB1 	'+/- 	 lt_HI 	'+/- 	 lt_BGO 	'+/- 	 SB0start/s 	'+/- 	 SB0end/s 	'+/-  	 SB1start/s 	'+/- 	 SB1end/s 	'+/- 
23023	95530	309.079	76547	276.671	0.975561	0.00645049	1.00342	0.00538577	398	2.57553	397.033	2.5724	307.95	2.2655	308.883	2.26893
23024	1190521	1091.11	953342	976.392	0.972982	0.00186825	1.00465	0.00145417	388.383	2.54422	381.433	2.52135	304.083	2.25123	305.817	2.25764
23025	1250737	1118.36	999148	999.574	0.973868	0.0018294	1.00265	0.00145224	380.3	2.5176	370.65	2.48546	294.533	2.2156	295.917	2.2208
23026	1252662	1119.22	1001191	1000.6	0.973415	0.0018257	1.00328	0.00144849	360.867	2.45244	376.05	2.5035	283.15	2.17236	298.533	2.2306
23027	1306278	1142.93	1042010	1020.79	0.971318	0.00178182	1.0029	0.00140458	377.35	2.50782	394.867	2.56537	290.75	2.20133	315.817	2.29426
23028	48125	219.374	39539	198.844	0.978812	0.00880783	1.00149	0.00718577	389.8	2.54886	390.967	2.55267	300.7	2.23868	314.367	2.28898
23029	1384138	1176.49	1103505	1050.48	0.97158	0.00172562	1.0041	0.00132465	393.3	2.56027	435.817	2.69511	305.117	2.25506	342.517	2.38927
23030	1447937	1203.3	1152916	1073.74	0.972651	0.00169022	1.00161	0.00138511	432.167	2.6838	470	2.79881	332.717	2.35484	372.25	2.49082
23031	1552744	1246.09	1237504	1112.43	0.971398	0.00162987	1.00015	0.00137762	469.5	2.79732	448.583	2.7343	359.517	2.44784	358.217	2.44342
23032	1627550	1275.75	1296646	1138.7	0.971292	0.00159277	0.998653	0.00140764	436.183	2.69624	473.417	2.80896	338.433	2.37499	376.9	2.50633
23033	1647890	1283.7	1310622	1144.82	0.97282	0.00158883	0.998486	0.00146002	486.05	2.8462	465.883	2.78653	371.017	2.48669	371.717	2.48903
23034	1547980	1244.18	1232683	1110.26	0.973611	0.00164074	0.999471	0.00148141	476.65	2.81854	446.417	2.72769	363.517	2.46142	362.817	2.45905
23035	1628634	1276.18	1296161	1138.49	0.972271	0.00159912	0.998776	0.00143229	447.233	2.73018	488.583	2.8536	343.517	2.39276	390.05	2.54967
23036	1642459	1281.58	1309598	1144.38	0.969769	0.00158852	0.997076	0.00138675	483.5	2.83872	494.45	2.87069	373.5	2.49499	394.767	2.56504
23037	1744438	1320.77	1387612	1177.97	0.970975	0.00154318	0.996906	0.00138615	486.533	2.84761	523.583	2.95405	373.833	2.49611	414.767	2.62922
23038	260244	510.141	206458	454.376	0.972108	0.00396747	0.995538	0.00365668	532.55	2.97923	527.917	2.96625	405.683	2.60027	423.3	2.65612
23039	5000	70.7107	5003	70.7319	0.766914	0.00969693	1.01871	0.00368677	0	0	83.3333	1.17851	0	0	83.3333	1.17851
23040	5000	70.7107	5012	70.7955	0.72832	0.00576718	1.01808	0.00202736	0	0	83.3333	1.17851	0.0166667	0.0166667	83.3333	1.17851
23041	5000	70.7107	5002	70.7248	0.993098	0.013496	1.01691	0.00426744	0	0	83.3333	1.17851	0	0	83.3333	1.17851
23042	44607	211.204	35251	187.752	0.981737	0.00927538	1.00946	0.00709615	317.8	2.30145	317.933	2.30193	236.15	1.98389	241.367	2.00569
23043	43994	209.747	34774	186.478	0.982229	0.00893923	1.00492	0.00734	308.283	2.26673	305.767	2.25746	226.333	1.94222	236.7	1.9862
23044	474627	688.932	362978	602.477	0.9784	0.00288282	1.01508	0.00150326	303.733	2.24994	285.167	2.18009	220.75	1.91812	218.15	1.90679
23045	5000	70.7107	5004	70.739	1	0.019998	1.01858	0.0032819	0	0	83.3333	1.17851	0	0	83.3333	1.17851
23046	5000	70.7107	5001	70.7177	0.964054	0.0102884	0.986316	0.00904081	0	0	83.3333	1.17851	0.0166667	0.0166667	83.3333	1.17851
23047	5000	70.7107	5000	70.7107	0.949446	0.0058131	0.976595	0.00524864	0	0	83.3333	1.17851	0	0	0	0
23048	50127	223.891	40196	200.489	0.951031	0.0085122	0.975642	0.00954808	752.117	3.54052	808.25	3.67026	586.6	3.12677	625.3	3.22826
23049	1353816	1163.54	1047647	1023.55	0.940538	0.0017179	0.965943	0.0019495	826.767	3.71207	854.183	3.77311	618.117	3.20966	657.483	3.3103
23050	731704	855.397	564794	751.528	0.941952	0.00232875	0.965673	0.00276383	845.417	3.7537	814.517	3.68446	631.15	3.24333	633.533	3.24944
23051	255276	505.248	198543	445.582	0.945556	0.00397179	0.967185	0.00464555	807.583	3.66875	827.35	3.71338	607.167	3.18111	641.417	3.2696
23052	213981	462.581	167397	409.142	0.954757	0.00504314	0.977543	0.0051671	837.483	3.73605	842.367	3.74692	630.317	3.24118	651.733	3.29579
23053	1463404	1209.71	1131946	1063.93	0.950255	0.00196937	0.990829	0.00146739	838.6	3.73854	862.467	3.79136	626.383	3.23106	416.583	2.63497
23054	5000	70.7107	5004	70.739	1	0.019996	1.00654	0.00331585	0	0	83.3333	1.17851	0	0	83.3333	1.17851
23055	1248123	1117.19	964224	981.949	0.948885	0.00210041	0.990424	0.00139447	822.417	3.70229	743.467	3.5201	616.733	3.20607	409.033	2.61098
23056	838545	915.721	648386	805.224	0.952095	0.00255902	0.998271	0.00139318	831.283	3.72219	773.367	3.59019	619.967	3.21446	266.033	2.10568
23057	51312	226.522	40891	202.215	0.962758	0.00958508	0.990347	0.0089041	573.783	3.09242	540.75	3.00208	422.733	2.65435	417.25	2.63708
23058	3304561	1817.85	2549926	1596.85	0.950146	0.00129286	0.975833	0.00130538	843.233	3.74885	795.067	3.64021	620.617	3.21615	606.567	3.17954
23059	2444270	1563.42	1883519	1372.41	0.949647	0.001502	0.982114	0.00133536	792.75	3.6349	850.333	3.7646	596.533	3.15313	652.267	3.29714
23060	2333940	1527.72	1803785	1343.05	0.944883	0.00152916	0.981369	0.00136539	0.216667	0.0600925	384.167	2.53037	0.116667	0.0440959	371.9	2.48965
23061	5000	70.7107	5000	70.7107	1	0.02	1.00673	0.0137413	0	0	83.3333	1.17851	0	0	0	0
23062	2864257	1692.41	2215244	1488.37	0.944342	0.00139446	0.978252	0.00127906	883.5	3.83732	868.8	3.80526	660.867	3.3188	661.033	3.31922
23063	2898652	1702.54	2243883	1497.96	0.945193	0.00139096	0.977103	0.00131618	878.267	3.82593	928.15	3.93309	658.033	3.31168	717.95	3.45917
23064	3069314	1751.95	2375078	1541.13	0.943637	0.00134866	0.975435	0.0012997	919.883	3.91553	898.867	3.87054	688.667	3.38789	691.367	3.39452
23065	118064	343.604	92350	303.891	0.948242	0.00666263	0.976234	0.00612046	922.717	3.92156	918.1	3.91173	685.217	3.37939	711.85	3.44444
23066	2720330	1649.34	2104283	1450.61	0.946928	0.00144426	0.977775	0.00132201	910	3.89444	721.317	3.46727	685.967	3.38124	557.083	3.04708
23067	2239136	1496.37	1729780	1315.21	0.948074	0.00158844	0.98355	0.00126657	729.217	3.4862	606.8	3.18015	544.15	3.01151	467.433	2.79116
23068	254221	504.203	196201	442.946	0.952011	0.00464853	0.987519	0.00334597	576.133	3.09875	566.083	3.0716	428.9	2.67364	428.183	2.6714
23069	151251	388.91	116966	342.003	0.953941	0.00579668	0.987644	0.00416985	517.167	2.93589	519.933	2.94373	384.417	2.53119	399	2.57876
23070	497434	705.29	384555	620.125	0.95051	0.00326484	0.985729	0.00249402	606.3	3.17884	578.517	3.10515	452.133	2.7451	447.683	2.73155
23071	1547988	1244.18	1194174	1092.78	0.952211	0.0018804	0.988298	0.00138516	569	3.0795	531.433	2.97611	425.817	2.66401	409.083	2.61114
23072	9677	98.3717	8549	92.4608	0.990351	0.0173754	0.995288	0.0156919	77.95	1.13981	152.833	1.596	59.15	0.992891	122.95	1.43149
23073	85405	292.241	66374	257.632	0.958253	0.00775975	0.988905	0.00557552	524.683	2.95715	505.217	2.90177	382.15	2.52372	387.533	2.54143
23074	183550	428.427	142663	377.708	0.956612	0.00549858	0.996117	0.00313797	475.65	2.81558	0	0	348.1	2.40866	0.0166667	0.0166667
23075	959741	979.664	742197	861.509	0.948244	0.00244411	0.982782	0.00195765	718.4	3.46025	664.267	3.32733	539.267	2.99796	511.867	2.92081
23076	805947	897.746	621306	788.23	0.959337	0.00376432	0.994696	0.00218513	650.8	3.29343	686.05	3.38144	484.133	2.84058	542.333	3.00647
23077	1834441	1354.42	1420038	1191.65	0.959361	0.00251231	0.992487	0.0015411	713.95	3.44952	806.067	3.6653	540.55	3.00153	632.367	3.24645
