#run	Ein	Eout	pressure	before	after	targetTrans	+/-	sepTrans	+/-	CSF	+/-
23023	505	482.5	6.89	nan	2.51E-007	0.99	0.02	0.99	0.02	0.46	0.1
23024	505	482.5	6.85	2.53E-007	2.52E-007	0.99	0.02	0.99	0.02	0.46	0.1
23025	505	482.5	6.85	2.56E-007	2.52E-007	0.99	0.02	0.99	0.02	0.46	0.1
23026	505	482.5	6.85	2.53E-007	2.54E-007	0.99	0.02	0.99	0.02	0.46	0.1
23027	505	482.5	6.86	2.51E-007	2.55E-007	0.99	0.02	0.99	0.02	0.46	0.1
23065	407	384.5	6.75	3.50E-007	3.49E-007	0.94	0.03	0.99	0.02	0.5	0.2
23066	407	384.5	6.75	3.44E-007	2.72E-007	0.94	0.03	0.99	0.02	0.5	0.2
23067	407	384.5	6.74	2.77E-007	2.26E-007	0.94	0.03	0.99	0.02	0.5	0.2
23109	327	304	6.81	3.26E-007	3.30E-007	0.95	0.02	0.99	0.02	0.3	0.1
23110	327	304	6.83	3.26E-007	9.77E-010	0.95	0.02	0.99	0.02	0.3	0.1
23111	327	304	6.84	9.77E-010	9.77E-010	0.95	0.02	0.99	0.02	0.3	0.1
23112	327	304	6.82	9.77E-010	9.77E-010	0.95	0.02	0.99	0.02	0.3	0.1
23113	327	304	6.81	9.77E-010	2.71E-007	0.95	0.02	0.99	0.02	0.3	0.1
23114	327	304	6.82	3.11E-007	3.25E-007	0.95	0.02	0.99	0.02	0.3	0.1
23115	327	304	6.81	3.24E-007	3.25E-007	0.95	0.02	0.99	0.02	0.3	0.1
23116	327	304	6.81	3.25E-007	3.32E-007	0.95	0.02	0.99	0.02	0.3	0.1
23117	327	304	6.82	3.32E-007	3.31E-007	0.95	0.02	0.99	0.02	0.3	0.1
23118	327	304	6.86	3.29E-007	3.22E-007	0.95	0.02	0.99	0.02	0.3	0.1
23119	327	304	6.88	3.23E-007	3.17E-007	0.95	0.02	0.99	0.02	0.3	0.1
23121	327	304	6.98	3.21E-007	3.26E-007	0.95	0.02	0.99	0.02	0.3	0.1
23122	327	304	7	3.26E-007	3.24E-007	0.95	0.02	0.99	0.02	0.3	0.1
23126	327	304	6.88	nan	3.68E-007	0.95	0.02	0.99	0.02	0.3	0.1
23127	327	304	6.85	3.66E-007	3.55E-007	0.95	0.02	0.99	0.02	0.3	0.1
23128	327	304	6.85	3.51E-007	3.42E-007	0.95	0.02	0.99	0.02	0.3	0.1
